Lecce,3.60,Fiorentina,2.10,Fiorentina,02.02.2024
Inter,1.85,Juventus,4.40,Inter Milan,04.02.2024
Bologna,1.77,Sassuolo,4.50,draw,03.02.2024
Napoli,1.46,Verona,7.00,Napoli,04.02.2024
Empoli,2.87,Genoa,2.55,draw,03.02.2024
Torino,1.47,Salernitana,7.50,Torino,04.02.2024
Atalanta,2.05,Lazio,3.60,Atalanta,04.02.2024
Marseille,1.61,Montpellier,5.25,Marseille,25.02.2024
Lens,2.30,Monaco,2.80,draw,25.02.2024
Metz,3.75,Lyon,1.95,Lyon,23.02.2024
Lorient,2.50,Nantes,2.80,draw,24.02.2024
Strasbourg,2.65,Brest,2.65,Strasbourg,24.02.2024
Le Havre,3.20,Reims,2.25,draw,25.02.2024
Toulouse,3.80,Lille,1.90,Lille,25.02.2024
PSG,1.55,Rennes,5.50,PSG,25.02.2024
Nice,1.47,Clermont,7.25,draw,25.02.2024
Al Nassr,1.20,Al Fateh,12.00,Al Nassr,17.02.2024
Al Akhdoud,7.00,Al Ahli SC,1.38,Al Ahli,16.02.2024
Kansas State,2.65,Kansas,1.57,Kansas State,06.02.2024
Portland State,2.45,East. Washington,1.67,Portland State,06.02.2024
Sacramento State,1.59,Idaho,2.60,Idaho State,06.02.2024
Nicholls State,1.30,Northwestern St.,3.92,Nicholls State,06.02.2024
Alabama State,1.25,Florida A&amp;M,4.40,Alabama State,06.02.2024
Alabama A&amp;M,2.12,Bethune-Cookman,1.84,draw,06.02.2024
SE Louisiana,1.26,Incarnate Word,4.33,draw,06.02.2024
Alcorn State,1.89,Grambling St.,2.06,Alcorn State,06.02.2024
South Carolina St,1.23,Coppin State,4.60,South Carolina State,06.02.2024
N. Carolina Central,1.18,Morgan State,5.25,Morgan State,06.02.2024
Delaware State,2.05,Howard,1.90,Delaware State,06.02.2024
Md.-East. Shore,4.60,Norfolk State,1.23,Norfolk State,06.02.2024
Jackson State,1.89,Southern Univ.,2.06,Jackson State,06.02.2024
Philadelphia 76ers,2.30,Golden State Warriors,1.80,Golden State Warriors,08.02.2024
Los Angeles Clippers,1.38,New Orleans Pelicans,3.60,New Orleans Pelicans,08.02.2024
Sacramento Kings,1.13,Detroit Pistons,7.30,Sacramento Kings,08.02.2024
Washington Wizards,6.30,Cleveland Cavaliers,1.17,Washington Wizards,08.02.2024
Charlotte Hornets,3.60,Toronto Raptors,1.38,Charlotte Hornets,08.02.2024
Boston Celtics,1.17,Atlanta Hawks,6.30,Boston Celtics,08.02.2024
Miami Heat,1.30,San Antonio Spurs,4.40,Miami Heat,08.02.2024
East,2.22,West,1.77,Eastern Conference,19.02.2024
Memphis Grizzlies,2.41,Chicago Bulls,1.48,Memphis Grizzlies,09.02.2024
New York Knicks,1.99,Dallas Mavericks,1.70,Dallas Mavericks,09.02.2024
Milwaukee Bucks,1.48,Minnesota Timberwolves,2.41,Milwaukee Bucks,09.02.2024
Duke,1.02,Notre Dame,15.00,Duke,08.02.2024
Rice,3.60,SMU Mustangs,1.38,error,08.02.2024
Duquesne,1.45,Davidson,3.20,Duquesne,08.02.2024
Belmont,1.80,Murray State,2.30,Belmont,08.02.2024
Tennessee,1.08,LSU,8.50,Tennessee,08.02.2024
